Date	Branch	p	max	min	avg	
08/01/2018	Sagara	Gotu	12159	10421	11200	
08/01/2018	Sagara	40282	40282	40282		
11/01/2018	Sagara	Idi	37670	36549	37200	
11/01/2018	Sagara	24589	20769	22900		
11/01/2018	Sagara	22805	22739	22750		
11/01/2018	Sagara	Gotu	12389	10895	11500	
18/01/2018	Sagara	Idi	37229	33009	35600	
18/01/2018	Sagara	23809	20369	22500		
18/01/2018	Sagara	23609	21569	22800		
18/01/2018	Sagara	Gotu	12249	10419	11500	
22/01/2018	Sagara	Idi	37370	35609	37900	
22/01/2018	Sagara	25101	22121	24500		
22/01/2018	Sagara	23009	20889	22500		
22/01/2018	Sagara	Gotu	12249	11121	11800	
25/01/2018	Sagara	Idi	37331	32670	35500	
25/01/2018	Sagara	24899	21111	23500		
25/01/2018	Sagara	22629	21419	22000		
25/01/2018	Sagara	Gotu	12069	10399	11500	
29/01/2018	Sagara	Idi	36710	34111	35900	
29/01/2018	Sagara	24599	21319	23100		
29/01/2018	Sagara	21869	19169	20900		
29/01/2018	Sagara	Gotu	11829	8381	11200	
01/02/2018	Sagara	Idi	35911	33339	34800	
01/02/2018	Sagara	23289	18101	20900		
01/02/2018	Sagara	21599	20599	21100		
01/02/2018	Sagara	Gotu	11619	9429	10900	
05/02/2018	Sagara	Idi	36309	33459	35400	
05/02/2018	Sagara	23699	21499	22900		
05/02/2018	Sagara	20859	19899	20600		
05/02/2018	Sagara	Gotu	10786	10282	10500	
08/02/2018	Sagara	Idi	36991	35000	36500	
08/02/2018	Sagara	24869	19399	23900		
08/02/2018	Sagara	22050	20699	21200		
08/02/2018	Sagara	Gotu	11399	9919	11100	
12/02/2018	Sagara	Idi	36811	32111	35200	
12/02/2018	Sagara	24299	20801	23800		
12/02/2018	Sagara	22109	20699	21100		
12/02/2018	Sagara	Gotu	11529	9919	11100	
15/02/2018	Sagara	Idi	37021	35880	36500	
15/02/2018	Sagara	26211	20699	25600		
15/02/2018	Sagara	22028	20670	21800		
15/02/2018	Sagara	Gotu	11289	10087	10950	
19/02/2018	Sagara	Idi	36651	33221	33000	
19/02/2018	Sagara	23799	18889	23000		
19/02/2018	Sagara	21959	21269	21000		
19/02/2018	Sagara	Gotu	10569	10389	10000	
